[2021-11-13 17:33:44,255]: 127.0.0.1:1233 "PUT HTTP/1.1 q.txt"200 OK 
[2021-11-13 21:59:26,447]: 127.0.0.1:12345 "PUT HTTP/1.1 abhay.txt"200 OK 
[2021-11-14 00:13:45,837]: 127.0.0.1:1234 "HEAD HTTP/1.1 sankalp.png"200 OK 
[2021-11-14 00:13:54,576]: 127.0.0.1:1234 "GET HTTP/1.1 sankalp.png"200 OK 
[2021-11-14 00:32:44,877]: 127.0.0.1:1234 "DELETE HTTP/1.1 drum.mp3"200 OK 
[2021-11-14 00:33:22,840]: 127.0.0.1:1234 "DELETE HTTP/1.1 t.mp3"401 Unauthorised 
[2021-11-14 17:01:05,381]: 127.0.0.1:9999 "HEAD /sahil.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 17:01:05,381]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.txt"200 OK 
[2021-11-14 17:01:15,992]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 17:01:16,001]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 17:04:32,044]: 127.0.0.1:9999 "HEAD /test.png HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 17:04:32,044]: 127.0.0.1:9999 "HEAD HTTP/1.1 test.png"200 OK 
[2021-11-14 17:04:42,729]: 127.0.0.1:9999 "GET HTTP/1.1 test.png"200 OK 
[2021-11-14 17:04:42,730]: 127.0.0.1:9999 "GET /test.png HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 17:06:00,677]: 127.0.0.1:9999 "GET /sahil.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 17:06:00,677]: 127.0.0.1:9999 "GET HTTP/1.1 sahil.txt"200 OK 
[2021-11-14 18:31:06,553]: 127.0.0.1:9999 "GET /sahil.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 18:31:06,553]: 127.0.0.1:9999 "GET HTTP/1.1 sahil.txt"200 OK 
[2021-11-14 18:33:14,186]: 127.0.0.1:9990 "HEAD /sahil.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 18:33:14,186]: 127.0.0.1:9990 "HEAD HTTP/1.1 sahil.txt"200 OK 
